제품명,표준코드명
구미포비돈요오드액,"8806804000817"""""
구미포비스왑스틱(포비돈요오드)(수출명:포비딕),"""8806804000909"",""8806804000916"",""8806804000923"",""8806804000930"""
구미헥시에탄올스틱스왑액,"""8806804003122"",""8806804003115"",""8806804003108"""
구미헥시크린에이액(글루콘산클로르헥시딘액),"""8806804001807"",""8806804001814"",""8806804001821"""
구미화이트셒액,"8806804001418"""""""
구미히비크린에이액(글루콘산클로르헥시딘액),"""8806804001906"",""8806804001913"",""8806804001920"""
구바파정,"""8806696030008"",""8806696030015"",""8806696030022"""
구아내정,"""8806581043601"",""8806581043618"",""8806581043625"",""8806581043632"""
구주로라타딘정10밀리그람(수출명:로히스타정),"""8806698001006"",""8806698001013"",""8806698001020"",""8806698001037"""
국제아스피린장용정100mg,"""8806437039000"",""8806437039017"""
국제아시클로버크림,"8806437005814"""""
굿모닝에이스정,"8806581060325"""""
굿스펜연질캡슐(덱시부프로펜),"""8806418038909"",""8806418038916"""
굿엔코액,"""8806418059508"",""8806418059515"""
굿엔콜액,"""8806418059409"",""8806418059416"""
굿포미정,"""8806446043203"",""8806446043210"""
그날엔노즈플러스연질캡슐,"""8806481039612"",""8806481039605"""
그날엔더블유연질캡슐,"""8806481047402"",""8806481047419"""
그날엔덱스연질캡슐(덱시부프로펜),"""8806481043107"",""8806481043114"""
그날엔딥24플라스타(디클로페낙나트륨),"""8806481040427"",""8806481040403"",""8806481040410"""
그날엔정,"""8806481026025"",""8806481026001"",""8806481026018"",""8806481026032"""
그날엔코프플러스연질캡슐,"""8806481039414"",""8806481039407"""
그날엔콜드플러스연질캡슐,"""8806481039513"",""8806481039506"""
그날엔큐정,"8806481027619"""""
그랑페롤연질캡슐1000아이유(비타민이프리퍼레이션),"""8806421000405"",""8806421000412"""
그랑페롤연질캡슐400아이유(비타민이프리퍼레이션)(군납명:토코페롤연질캡슐400아이유100캡슐),"""8806421000603"",""8806421000610"""
그루타제정,"""8806497000408"",""8806497000415"",""8806497000422"",""8806497000439"",""8806497000446"""
그리펜-에스정(덱시부프로펜),"""8806538000602"",""8806538000619"",""8806538000626"""
그린관장약(농글리세린)(수출명:FIT-APO),"""8806483000405"",""8806483000412"",""8806483000429"",""8806483000436"",""8806483000443"""
그린나잘스프레이모이스쳐액(옥시메타졸린염산염),"""8806483011401"",""8806483011418"",""8806483011425"""
그린노즈에스시럽,"""8806436052109"",""8806436052116"""
그린노즈에스캡슐,"""8806415014005"",""8806415014012"""
그린데이플러스장용연질캡슐,"8800551024515"""""""
그린록시겔(피록시캄),"""8806483012903"",""8806483012910"",""8806483012927"",""8806483012934"""
그린솔트에프액,"8806483000818"""""""
"그린코플시럽(딸기향, 바나나향)","""8806436056107"",""8806436056121"",""8806436056114"""
