제품명,표준코드명
아프모겐큐인후스프레이(디클로페낙),"""8806703046312"",""8806703046305"""
아프소겐정(파모티딘),"""8806218039908"",""8806436066106"",""8806218039922"",""8806436066113"",""8806218039946"",""8806436066120"",""8806218039939"",""8806436066137"",""8806218039915"",""8806436066144"""
아프타치정(트리암시놀론아세토니드),"""8806427041808"",""8806427041815"""
안국겐타마이신황산염크림,"""8806502015601"",""8806502015618"""
안국니트로푸라존연고,"""8806502010507"",""8806502010514"""
안국아시클로버크림,"8806502013317"""""
안타신정,"""8806703008600"",""8806703008617"",""8806703008624"""
안티노을연질캡슐,"""8806616009107"",""8806616009114"",""8806616009138"""
안티라제정(수출명: Strikase),"""8806548010004"",""8806548010011"",""8806548010028"",""8806548010035"""
안티비오과립300밀리그램(락토바실루스아시도필루스균),"""8806516004608"",""8806516004615"",""8806516004622"",""8806516004639"",""8806516004646"",""8806516004653"""
안티비오과립75밀리그람(락토바실루스아시도필루스)(수출명: 안티비오프로(Antibio Pro)),"""8806516004509"",""8806516004516"",""8806516004523"",""8806516004530"",""8806516004547"",""8806516004554"""
안티비오캡슐300mg(락토바실루스아시도필루스균),"""8806516004806"",""8806516004813"",""8806516004820"",""8806516004837"",""8806516004844"""
안티센크림,"8806836008003"""""
안티스액(벤지다민염산염),"""8806641008700"",""8806641008717"",""8806641008724"",""8806641008731"""
안티스토연질캡슐,"""8800551025604"",""8800551025611"""
안티클로크림,"""8806470007103"",""8806470007110"""
안티포스연고,"""8806470004904"",""8806470004928"",""8806470004911"",""8806470004935"""
안티푸라민더블파워카타플라스마,"""8806421045208"",""8806421045215"",""8806421045222"",""8806421045239"",""8806421045246"""
안티푸라민로션,"8806421052817"""""
안티푸라민액티브롤파스(펠비낙),"""8806421050813"",""8806421050806"""
"안티푸라민에스로션
(수출명:유한안티푸라민에스로션)","""8806421010206"",""8806421010213"",""8806421010220"",""8806421010237"",""8806421010244"",""8806421010251"",""8806421010268"""
안티푸라민조인트플라스타(펠비낙),"""8806421010305"",""8806421010312"""
안티푸라민케토카타플라스마(케토프로펜),"""8806421053104"",""8806421053111"""
안티푸라민케토플라스타(케토프로펜),"""8806421053012"",""8806421053005"",""8806421053029"""
안티푸라민코인플라스타,"""8806421047608"",""8806421047615"""
안티푸라민쿨카타플라스마(펠비낙),"""8806421041309"",""8806421041316"",""8806421041323"",""8806421041330"""
안티푸라민쿨파워플라스타,"""8806421054910"",""8806421054903"",""8806421060911"",""8806421060904"""
안티푸라민파프카타플라스마(플루르비프로펜),"""8806421039405"",""8806421039412"",""8806421039429"",""8806421039436"""
안티푸라민한방카타플라스마,"""8806421043006"",""8806421043013"""
안티푸라민허브향플라스타(플루르비프로펜),"""8806421041408"",""8806421041415"",""8806421041422"",""8806421041439"",""8806421041446"",""8806421041453"""
안페라캡슐(포도엽건조엑스),"""8806431053408"",""8806431053415"",""8806431053422"""
알게나정(알마게이트),"""8806703008808"",""8806703008815"",""8806703008822"",""8806703008839"",""8806703008846"""
알게론정500밀리그램(알마게이트),"""8806534026705"",""8806534026712"",""8806534026729"""
알게마정(알마게이트),"""8806482011006"",""8806482011013"",""8806482011020"",""8806482011037"""
알게이트정(알마게이트),"""8806409006306"",""8806409006313"",""8806409006320"",""8806409006337"""
알게텍정(알마게이트),"""8800576000105"",""8800576000112"""
알기닉액(L-아스파르트산-L-아르기닌수화물),"""8806798020006"",""8806798020020"",""8806798020013"",""8806798020037"",""8806798020044"",""8806798020051"""
알나졸정400밀리그램(알벤다졸),"""8806448013501"",""8806448013518"",""8806448013525"",""8806448013532"""
알도스캡슐(에르도스테인),"""8806297002206"",""8806655018801"",""8806297002213"",""8806297002220"""
알도스텐캡슐300밀리그램(에르도스테인),"""8806429012202"",""8806429012219"",""8806429012226"""
알두스캡슐(에르도스테인),"""8806540047909"",""8806540047923"",""8806540047916"""
알드라민정(세티리진염산염),"""8806585011408"",""8806585011415"",""8806585011422"",""8806585011439"",""8806585011446"""
알드린1그람현탁액(알마게이트)(수출명:ILYANGAlmagatesusp),"""8806417010807"",""8806417010814"",""8806417010821"""
알드린정(알마게이트),"""8806417010906"",""8806417010913"",""8806417010920"""
알드린현탁액(알마게이트),"""8806417011002"",""8806417011019"",""8806417011026"""
알디스탑캅셀,"""8806542004702"",""8806542004719"""
알러딘정(펙소페나딘염산염),"""8806706043707"",""8806706043714"",""8806706043721"""
알러비정(세티리진염산염),"""8806448061908"",""8806998016007"",""8806448061915"",""8806998016014"",""8806448061922"",""8806998016021"",""8806448061939"",""8806998016038"",""8806448061946"",""8806998016045"""
알러샷연질캡슐(세티리진염산염),"""8806436044807"",""8806436044814"""
알러캡연질캡슐(세티리진염산염),"""8806966018804"",""8806966018811"""
알러콘점안액(케토티펜푸마르산염),"""8806435017703"",""8806435017710"""
알러텍정(세티리진염산염),"""8806428009609"",""8806428009616"",""8806428009623"",""8806428009630"",""8806428009647"",""8806428009654"",""8806428009661"",""8806428009678"""
알러팜정(세티리진염산염),"""8806218043400"",""8806218043431"""
알러펜점안액(케토티펜푸마르산염),"""8806439008400"",""8806439008417"""
알레그라정120밀리그람(펙소페나딘염산염),"""8806521009605"",""8806521009612"",""8806521009629"",""8806521009636"",""8806521009643"""
알레드정(세티리진염산염),"""8806417011101"",""8806417011118"",""8806417011125"""
알레르텍연질캡슐(세티리진염산염),"""8806432031405"",""8806432031412"""
알레리진정(세티리진염산염),"""8806586006809"",""8806586006816"",""8806586006823"""
알레스탑-에스정,"8806538020112"""""""
알레오프엘정(로라타딘),"""8806422037004"",""8806422037011"""
알레크롬점안액(크로모글리크산나트륨),"""8806586006908"",""8806586006915"",""8806586006922"",""8806586006939"""
알레틴정(로라타딘)(수출명:비알레틴),"""8806556013202"",""8806556013219"",""8806556013226"",""8806556013233"""
알로스탑연질캡슐(로라타딘),"""8806424041108"",""8806424041115"""
알로탈정,"""8806448013709"",""8806448013716"",""8806448013723"",""8806448013730"""
알로판400mg정(이부프로펜),"""8806625013300"",""8806625013317"",""8806625013324"",""8806625013331"",""8806625013348"",""8806625013355"""
알로판텐정100mg(덱스판테놀),"""8806980042106"",""8806980042113"",""8806980042137"",""8806980042120"""
알루실산정,"8806581012010"""""
알룬정,"8806706045510"""""
알리겔정(알마게이트),"""8806515035306"",""8806515035313"""
알리코클로르헥시딘크림,"8806560011416"""""""
알마겐정500밀리그램(알마게이트),"""8806230051803"",""8806230051810"",""8806230051827"""
알마겐트정(알마게이트),"""8806472004506"",""8806472004513"",""8806472004520"",""8806472004537"""
알마겔에프현탁액(알마게이트)(수출명:유만겔에프현탁액),"""8806421010701"",""8806421010718"",""8806421010725"",""8806421010732"",""8806421010749"",""8806421010756"""
알마겔정(알마게이트)(수출명:유한가스트라겔정),"""8806421010800"",""8806421010817"",""8806421010824"",""8806421010831"""
알마겔현탁액(알마게이트)(수출명:유만겔현탁액),"""8806421010909"",""8806421010916"",""8806421010923"",""8806421010930"",""8806421010947"",""8806421010954"",""8806421010961"""
알마노겐정(알마게이트),"""8806985027603"",""8806985027627"",""8806985027634"""
알마돈정,"""8806448046707"",""8806448046714"",""8806448046721"""
알마드정(알마게이트),"""8806625028403"",""8806625028410"",""8806625028427"",""8806625028434"",""8806625028441"""
알마디정(알마게이트),"""8806258004218"",""8806258004201"""
알마딘정,"""8806971003406"",""8806971003413"",""8806971003420"""
알마로정(알마게이트),"""8806701036407"",""8806701036414"""
알마르정(알마게이트),"""8806636055603"",""8806636055610"",""8806636055627"",""8806636055634"""
알마린정(알마게이트),"""8806252003705"",""8806252003712"",""8806252003729"""
알마스정(알마게이트),"""8806744016237"",""8806744016220"",""8806744016213"",""8806744016206"",""8806744016251"",""8806744016244"""
알마스콘정(알마게이트),"""8806786011818"",""8806786011801"""
알마시드정(알마게이트),"""8806456013708"",""8806456013715"",""8806456013722"",""8806456013739"""
알마인정(알마게이트),"""8800524017711"",""8800524017728"",""8800524017704"""
알마정(알마게이트),"""8806275003904"",""8806998008200"",""8806275003911"",""8806998008217"",""8806998008224"""
알마제트정(알마게이트),"""8806446029306"",""8806446029313"""
알마케이드정(알마게이트),"""8806573073401"",""8806573073418"""
알마타정,"8806625013614"""""
알마테정(알마게이트),"""8806942053508"",""8806942053522"",""8806942053515"""
알마트로정(알마게이트),"""8800577000302"",""8800577000319"""
알마트린정,"8806649003813"""""
알마티정(알마게이트),"""8806578052005"",""8806578052012"""
알마펜정(알마게이트),"""8800535000900"",""8800535000917"",""8800535000924"""
알마휴정(알마게이트),"""8806288001904"",""8806288001928"",""8806288001911"""
알메텍정(세티리진염산염),"""8806452021004"",""8806452021011"",""8806452021028"",""8806452021035"""
알미탄겔정,"8806562051410"""""
알미틴정,"""8806562012602"",""8806562012619"",""8806562012626"",""8806562012633"",""8806562012640"",""8806562012657"",""8806562012664"",""8806562012671"""
알미틴플러스정,"8806562051724"""""
알바스테인캡슐(에르도스테인),"""8806491028903"",""8806491028910"",""8806491028927"",""8806491028934"""
알바콤정(알벤다졸),"""8806417028703"",""8806417028710"",""8806417028727"""
알바트정(알마게이트),"""8806431043409"",""8806431043416"""
알벤다정(알벤다졸),"""8806562047208"",""8806562047215"",""8806562047222"""
알벤졸정(알벤다졸),"""8806423054406"",""8806423054413"",""8806423054420"""
알벤프리졸정(알벤다졸),"""8806581046701"",""8806581046718"""
알보제로액(폴리크레줄렌액50%),"""8806417052203"",""8806417052210"""
알보젠알마게이트정,"8806559044906"""""
알보칠콘센트레이트액(폴리크레줄렌),"""8806939036705"",""8806963003605"",""8806939036712"",""8806963003612"",""8806939036729"",""8806963003629"""
알보큐액(폴리크레줄렌액50%),"""8806574005104"",""8806574005111"",""8806574005128"""
알부골드연질캡슐,"""8806452036404"",""8806452036411"",""8806452036428"""
알부라민연질캡슐,"""8806473008305"",""8806473008312"",""8806473008329"",""8806473008336"""
알부론액(폴리말토오스수산화제이철착염),"""8806453011103"",""8806453011110"",""8806453011127"",""8806453011134"""
알부타민연질캡슐,"8806571004407"""""
알부테크연질캡슐,"""8806543038409"",""8806543038416"""
알비정400mg(알벤다졸),"""8806560012109"",""8806560012116"",""8806560012123"""
알비코정,"""8806228020309"",""8806228020316"""
알삭센정(나프록센나트륨),"""8806497003904"",""8806497003911"",""8806497003928"",""8806497003935"",""8806497003942"",""8806497003959"",""8806497003966"""
알세진정10밀리그램(세티리진염산염),"""8800527005302"",""8806891024208"",""8800527005333"",""8806891024215"",""8800527005319"",""8800527005326"",""8806891024222"",""8800527005340"",""8806891024239"",""8806891024246"""
알소프트액,"8806779000317"""""
알싹정(알벤다졸),"""8806218016503"",""8806836019702"",""8806218016510"",""8806836019719"",""8806218016527"",""8806218016534"",""8806218016541"""
알앤샷연질캡슐(세티리진염산염),"""8806459064813"",""8806459064806"""
알엠에스알기닌액(L-아스파르트산-L-아르기닌수화물),"""8806932024945"",""8806932024938"",""8806932024907"",""8806932024914"",""8806932024921"""
알젠다졸정(알벤다졸),"""8800570012005"",""8800570012012"",""8800570012029"",""8800570012036"",""8800570012043"""
알졸타정400mg(알벤다졸),"""8806476026801"",""8806476026818"""
알지렉스정(세티리진염산염),"""8806543018906"",""8806543018913"",""8806543018920"",""8806543018937"",""8806543018944"",""8806543018951"",""8806543018968"""
알지엔스피드연질캡슐10밀리그램(세티리진염산염),"""8806416031117"",""8806416031124"",""8806416031100"",""8806416031131"""
알지텍정(세티리진염산염),"""8806518021009"",""8806638028308"",""8806942042908"",""8806518021016"",""8806638028315"",""8806518021023"",""8806942042915"",""8806518021030"",""8806942042922"""
알진텍정(세티리진염산염),"""8800724004108"",""8800724004115"""
알카본정,"""8806556052300"",""8806556052317"",""8806556052324"""
알카본플러스정,"8806556053321"""""
알카파워정,"8806585016311"""""
"알카펜네이잘연질캡슐(수출명:Alkafen-N Soft Caps., Alkafen Cough Soft Caps.)","""8806443022102"",""8806443022119"",""8806443022126"",""8806443022133"",""8806443022140"""
알코덱스액,"8806698019919"""""
알코타민정,"""8806427064913"",""8806427064906"""
알코펜연질캡슐(이부프로펜),"""8806560049006"",""8806560049013"""
알콤정(플루벤다졸),"""8806417011507"",""8806417011514"",""8806417011521"",""8806417011538"""
알킬정(알벤다졸),"""8806228023706"",""8806228023713"",""8806228023720"""
"알티린정(세티리진염산염)(수출명:Vilex, Cetirin)","""8806456014002"",""8806456014019"",""8806456014026"",""8806456014033"",""8806456014040"",""8806456014057"",""8806456014064"",""8806456014071"",""8806456014088"",""8806456014095"",""8806456014118"",""8806456014125"",""8806456014132"",""8806456014149"""
알파디연질캡슐(알파칼시돌),"""8806585023708"",""8806585023715"",""8806585023722"""
알파본연질캡슐(알파칼시돌)(수출명:아파본연질캡슐),"""8806556013806"",""8806556013813"",""8806556013820"",""8806556013837"",""8806556013844"",""8806556013851"",""8806556013868"""
알파시돌연질캡슐0.5마이크로그램(알파칼시돌),"""8806502016400"",""8806502016417"",""8806502016424"""
알파아세트아미노펜정500밀리그람,"8806542005211"""""
알파엠지정,"8806258014316"""""""
알파우루사연질캡슐,"8806940015607"""""
알파칼연질캡슐(알파칼시돌),"""8806543019002"",""8806543019019"",""8806543019026"",""8806543019033"",""8806543019040"",""8806543019057"""
알파콜에프캡슐,"8806543050715"""""""
알파클로닉신리신정,"8806542012318"""""""
알파파워정,"8806707020615"""""
알편제정,"""8806530015604"",""8806530015611"",""8806530015628"""
알피렌연질캡슐,"8806542005518"""""
알피린장용정(아스피린)(수출용),"""8806505013703"",""8806505013710"",""8806505013727"""
암브렉트정(암브록솔염산염),"""8806427024306"",""8806427024313"",""8806427024320"""
암브론정30mg(암브록솔염산염),"""8806446027708"",""8806446027715"",""8806446027722"",""8806446027739"""
암씨롱큐정,"8806425053704"""""
암펙솔정(암브록솔염산염),"""8806491007106"",""8806491007113"",""8806491007120"",""8806491007137"",""8806491007144"""
암포젤정(건조수산화알루미늄겔),"""8806429012806"",""8806429012813"",""8806429012820"",""8806429012837"""
앗센액(L-아스파르트산-L-아르기닌수화물),"""8806495071301"",""8806495071318"",""8806495071325"",""8806495071332"""
애니메디콘센트레이트액(폴리크레줄렌액50%),"""8806481037717"",""8806481037700"""
애니존크림(테르비나핀염산염),"""8806478016008"",""8806478016015"""
애니큐어연고,"""8806481044517"",""8806481044500"""
애니클렌액,"8806574003315"""""""
애니탈삼중정,"""8806502016707"",""8806502016714"",""8806502016721"",""8806502016738"",""8806502016745"""
애니펜시럽(덱시부프로펜),"""8806502034305"",""8806502034312"",""8806502034329"""
애니펜정150밀리그람(덱시부프로펜),"""8806502017100"",""8806502017117"",""8806502017124"",""8806502017131"""
애니펜정300밀리그램(덱시부프로펜),"""8806502017001"",""8806502017018"",""8806502017025"",""8806502017032"""
애니피론액(L-아스파르트산-L-아르기닌수화물),"""8806980034118"",""8806980034125"",""8806980034101"",""8806980034132"""
애드민정,"""8806971001303"",""8806971001310"",""8806971001327"",""8806971001334"",""8806971001341"",""8806971001358"",""8806971001365"""
애드민포르테정(콜레칼시페롤과립),"""8806971002409"",""8806971002416"",""8806971002423"",""8806971002430"",""8806971002447"",""8806971002454"""
애드민플러스정,"8806971007725"""""
애드빌리퀴겔연질캡슐(이부프로펜),"""8800516003708"",""8806465002007"",""8806489024306"",""8800516003715"",""8806489024313"",""8800516003722"",""8806489024320"""
애드빌정(이부프로펜),"""8800516003302"",""8806465002106"",""8806489027000"",""8800516003319"",""8806489027017"""
애드원정,"""8800588011908"",""8806574014502"",""8800588011915"",""8806574014519"",""8800588011939"",""8806574014526"",""8800588011922"",""8806574014533"""
애드칼정,"""8806433018108"",""8806433018115"",""8806433018122"",""8806433018139"""
애린쏙정(트리메부틴말레산염),"""8806417057802"",""8806417057819"""
애바가드외용액,"""8806410000706"",""8806410000713"",""8806410000720"""
애스펜정(덱시부프로펜),"""8806494015900"",""8806494015917"",""8806494015924"""
애시논액(수출용),"""8806265000104"",""8806425068906"",""8806265000111"",""8806425068913"",""8806265000128"",""8806425068920"",""8806265000135"""
애시컨정(파모티딘),"""8806265015108"",""8806265015115"",""8806265015122"""
애크논크림,"8806497024015"""""
애크린겔(살리실산),"""8806265018208"",""8806265018215"""
애피단정,"""8806495073305"",""8806495073312"",""8806495073329"""
액사티딘정75밀리그램(니자티딘),"""8806607009208"",""8806607009215"",""8806607009222"",""8806607009239"""
액소도스정,"8806538020518"""""
액토시드피에이산(과탄산나트륨),"""8800763000109"",""8800763000116"",""8800763000123"",""8800763000130"""
액트에버정,"8806581082105"""""""
액티나민플러스정,"""8806491033204"",""8806491033211"",""8806491033228"",""8806491033235"""
액티넘이엑스골드정,"8806963004107"""""
액티넘이엑스플러스정,"""8800572000505"",""8806963002806"",""8800572000512"",""8806963002813"",""8800572000529"",""8806963002820"",""8800572000536"",""8806963002837"""
액티몰스액(시트룰린말산염),"""8806599005004"",""8806599005011"",""8806599005028"",""8806599005035"",""8806599005042"",""8806599005059"",""8806599005066"""
액티바이정,"8806422044415"""""""
액티브메가비타정,"8806613066714"""""""
액티브비타맥스큐정,"""8806619054906"",""8806619054913"""
액티브원액(시트룰린말산염),"""8800576004202"",""8800576004219"",""8800576004226"""
액티브큐텐연질캡슐,"8806486019312"""""
액티브피록시캄겔(피록시캄),"""8806966018705"",""8806966018712"""
액티비씨정,"8806476036800"""""""
액티진맥스정,"""8806472057809"",""8806472057816"",""8806472057823"",""8806472057830"""
액티진비티에스정,"""8806472057311"",""8806472057328"",""8806472057304"""
액티진정,"""8806472050916"",""8806472050909"",""8806472050923"""
액티콤연질캡슐,"8806421030716"""""
액티큐정,"""8806526039409"",""8806559042407"",""8806526039423"",""8806559042414"",""8806526039416"",""8806559042421"""
액티페린정,"8806494016013"""""
액티프롤정,"8806448041412"""""""
액티피드시럽,"""8806439008905"",""8806439008912"",""8806439008929"""
액티피드정,"8806439009018"""""
앤도민300프리미엄연질캡슐,"""8806538051901"",""8806538051918"",""8806538051925"""
앤디락생캡슐(바실루스리케니포르미스균),"""8806417048701"",""8806417048718"",""8806417048725"""
앤티브액(L-아르기닌염산염),"""8806446007502"",""8806446007519"",""8806446007526"",""8806446007533"",""8806446007540"""
앤티팻정(엘카르니틴),"""8806698049305"",""8806698049312"""
어린이부루펜시럽(이부프로펜),"""8806439009100"",""8806439009117"",""8806439009124"",""8806439009131"""
어린이알리펜시럽(이부프로펜)(수출명:이부돌시럽),"""8806496016004"",""8806496016011"",""8806496016028"",""8806496016035"""
어린이용타스펜정160밀리그램(아세트아미노펜),"""8806496016103"",""8806496016110"",""8806496016127"""
어린이타이레놀산160밀리그램(아세트아미노펜),"""8806723001704"",""8806723001728"",""8806723001735"",""8806723001711"""
어린이타이레놀현탁액(아세트아미노펜),"""8806469026122"",""8806469026115"",""8806723002510"",""8806469026108"",""8806723002527"",""8806469026139"",""8806723002534"",""8806723002503"""
어의고첩카타플라스마(수출명: HERBAL PLASTER),"""8806438006407"",""8806438006414"",""8806438006421"""
에너골드액,"8806428009814"""""
에너라민파워액,"8806429059023"""""
에너리티액,"8806418067817"""""""
에너텐션액(L-아스파르트산-L-아르기닌수화물),"""8806744024607"",""8806744024614"",""8806744024621"",""8806744024638"""
에너프레쉬액(L-아스파르트산-L-아르기닌수화물),"""8806498072312"",""8806498072305"""
에도날캡슐(에르도스테인),"""8806485027301"",""8806485027318"",""8806485027325"",""8806485027332"""
에도스캡슐(에르도스테인),"""8806494016105"",""8806494016112"",""8806494016129"""
에도스텐캡슐(에르도스테인),"""8806567010900"",""8806567010917"",""8806567010924"",""8806567010931"",""8806567010948"""
에도인캡슐(에르도스테인),"""8806423028001"",""8806423028018"",""8806423028025"",""8806423028032"""
에디맥스디정,"""8806491056609"",""8806491056616"",""8806491056623"",""8806491056630"""
에디정(침강탄산칼슘),"""8806491007304"",""8806491007311"",""8806491007328"",""8806491007335"",""8806491007342"""
에디펜점안액(케토티펜푸마르산염),"""8806496016400"",""8806496016417"",""8806496016424"""
에뜨비정,"""8806704016307"",""8806704016314"""
에레스정(엘카르니틴),"""8806585024705"",""8806585024712"""
에르덱스캡슐(에르도스테인),"""8806502049125"",""8806502049118"",""8806502049101"""
에르도민캡슐(에르도스테인),"""8806534038111"",""8806534038128"",""8806534038104"",""8806534038135"""
에르도스캡슐(에르도스테인),"""8806498024304"",""8806498024311"",""8806498024328"",""8806498024335"""
에르도캡슐300밀리그램(에르도스테인),"""8806486036425"",""8806486036401"",""8806486036418"""
에르딘캡슐(에르도스테인),"""8806496016707"",""8806496016714"",""8806496016721"",""8806496016738"",""8806496016745"""
에르스토캡슐(에르도스테인),"""8806696051805"",""8806696051829"",""8806696051812"""
에르코프캡슐(에르도스테인),"""8806786010200"",""8806786010217"",""8806786010224"""
에르테인캡슐 (에르도스테인),"""8806409033616"",""8806409033623"",""8806409033630"",""8806409033647"",""8806409033609"""
에르틴정(엘카르니틴),"""8806696050204"",""8806696050211"""
에르페시버크림(아시클로버),"""8806786007613"",""8806786007606"""
에르펙토정(에르도스테인),"""8806446039510"",""8806446039527"",""8806446039503"""
에르펜캡슐(에르도스테인),"""8806446034010"",""8806446034027"",""8806446034003"""
에리카정,"""8806409043608"",""8806409043615"",""8806409043622"",""8806409043639"""
에리텐캡슐(에르도스테인),"""8806939021619"",""8806939021626"",""8806939021602"",""8806939021633"""
에모젠정,"""8800524015502"",""8800524015519"""
에모펜씨정,"8806704005318"""""
에바치온캡슐(글루타티온),"""8806446007700"",""8806446007717"",""8806446007724"",""8806446007731"",""8806446007748"",""8806446007755"",""8806446007762"",""8806446007779"",""8806446007786"",""8806446007793"",""8806446039619"""
에버칼디정,"8806701054111"""""
에버칼정,"""8806701023100"",""8806701023117"",""8806701023124"""
에버트린액1g(시트룰린말산염),"""8806486026501"",""8806486026518"",""8806486026525"",""8806486026532"",""8806486040118"",""8806486040125"",""8806486040101"""
에버포스정,"8806478051818"""""""
에세푸릴캡슐(니푸록사지드),"""8806422015705"",""8806422015712"",""8806422015729"",""8806422015736"",""8806422015743"",""8806422015750"",""8806422015767"""
에센비정,"""8806526038006"",""8806559018907"",""8806526038013"",""8806559018914"",""8806526038020"",""8806559018921"",""8806526038037"",""8806559018938"""
에스겔(케토프로펜),"""8806560012901"",""8806560012918"",""8806560012925"""
에스로반연고(무피로신),"""8806441004803"",""8806441004810"",""8806441004827"",""8806441004834"",""8806441004841"",""8806441004858"""
에스린정,"""8806288007906"",""8806288007913"""
에스릴네일라카(아모롤핀염산염),"""8806529038409"",""8806529038416"""
에스부펜정(덱시부프로펜),"""8806512039703"",""8806512039710"",""8806512039727"",""8806512039734"""
에스빈연질캡슐(덱시부프로펜),"""8806458016202"",""8806458016219"""
에스빌연질캡슐(덱시부프로펜),"""8806616010301"",""8806616010318"",""8806616010325"""
에스빌이부연질캡슐200밀리그램(이부프로펜),"""8806932023603"",""8806932023610"",""8806932023627"""
에스씨크림(리도카인),"""8806547014904"",""8806547014911"""
에스알파정,"8806707019916"""""
에스엠겔9.6%(리도카인),"""8800558001106"",""8806472045004"",""8806543019507"",""8800558001113"",""8806472045011"",""8806543019514"",""8800558001120"",""8806472045028"",""8806543019521"",""8800558001137"",""8806472045035"",""8806543019538"",""8800558001144"",""8806543019545"",""8806472045042"""
에스엠크림9.6%(리도카인),"""8800558000901"",""8806472045103"",""8806543037808"",""8800558000918"",""8806472045110"",""8806543037815"",""8800558000956"",""8806472045127"",""8806543037822"",""8800558000925"",""8806472045134"",""8806543037839"",""8800558000932"",""8806472045141"",""8806543037846"",""8800558000949"",""8806472045158"",""8806543037853"""
에스케이헤모원캡슐,"""8806447017104"",""8806447017111"",""8806447017128"",""8806447017135"""
에스코판정,"8806518021603"""""
에스텐캡슐300mg(에르도스테인),"""8806699066608"",""8806699066639"",""8806699066615"",""8806699066622"""
에스펜겔(디클로페낙나트륨),"""8806423028704"",""8806423028711"""
에스프로펜정(덱시부프로펜),"""8806482011501"",""8806482011518"",""8806482011525"",""8806482011532"""
에시플엔산(바실루스리케니포르미스균),"""8806441025006"",""8806441025013"",""8806441025020"""
에시플엔캡슐(바실루스리케니포르미스균),"""8806441028304"",""8806441028311"",""8806441028328"""
에어로민캡슐,"""8806538020907"",""8806538020914"",""8806538020921"""
에어신신파스,"""8806438006506"",""8806438006513"",""8806438006520"",""8806438006537"",""8806438006544"",""8806438006551"""
에이노즈연질캡슐,"""8806616036707"",""8806616036714"",""8806616036721"""
에이로반연고(무피로신),"""8806230068511"",""8806230068504"""
에이리스정,"8806489024108"""""
에이버크림(아시클로버),"""8806545009001"",""8806985000606"",""8806545009018"",""8806985000613"""
에이스린장용정(아스피린),"""8806218023808"",""8806218023839"",""8806218023822"",""8806218023846"",""8806218023853"""
에이스펜연질캡슐(나프록센),"""8806616010608"",""8806616010615"""
에이에스피장용정100mg(아스피린),"""8806523010906"",""8806523010913"",""8806523010920"",""8806523010937"",""8806523010944"""
에이올정,"""8806218016008"",""8806526070907"",""8806552016405"",""8806836025000"",""8806218016015"",""8806526070914"",""8806836025017"""
에이치엘비알벤다졸400정,"8806473007513"""""
에이치엘비피록시캄겔(피록시캄),"""8806473007803"",""8806473007810"",""8806473007827"",""8806473007834"",""8806473007841"",""8806473007858"""
에이치엠씨엔에프산(과탄산나트륨),"""8800530000103"",""8800772000107"",""8800530000110"",""8800772000114"""
에이코프연질캡슐,"""8806616048304"",""8806616048311"""
에이콜연질캡슐,"8806616038015"""""
에이클로크림,"""8806573070424"",""8806573070417"",""8806573070400"",""8806573070431"""
에이프레쉬점안액(카르복시메틸셀룰로오스나트륨)(1회용),"""8806540061103"",""8806540061110"",""8806540061127"""
에이프로젠나프록센나트륨정,"8806518026301"""""
에이프로젠무피로신연고,"8806518027704"""""
에이프로젠알마게이트정,"8806518032302"""""
에이프록센연질캡슐(나프록센),"""8806796008808"",""8806796008815"""
에쟈스민정(로라타딘),"""8806566017207"",""8806980008706"",""8806566017214"",""8806980008713"",""8806566017221"",""8806980008720"",""8806566017238"",""8806980008737"",""8806566017245"",""8806980008744"",""8806566017252"",""8806980008751"""
에치시드정,"8806562013616"""""
에치탑캡슐,"8806836009208"""""
에카린에이정,"""8806418053704"",""8806418053711"",""8806418053728"""
에카민씨정,"8806717008214"""""
에카씬정,"""8806431015109"",""8806431015116"",""8806431015123"""
에카에스정,"8806616055319"""""""
에카펜씨정,"8806446008219"""""
에코라연고(에코나졸질산염),"""8806448014300"",""8806448014317"",""8806448014324"",""8806448014331"""
에코파워600정,"8806581060110"""""
에크로바크림(아시클로버),"""8806481015609"",""8806481015616"""
에판에스정,"8806538031415"""""""
에페린플러스정,"8806476016314"""""
에페젠정,"""8806704016413"",""8806704016406"",""8806704016420"""
에폴민카타플라스마(디클로페낙에폴아민),"""8806456014309"",""8806456014408"",""8806456014316"",""8806456014323"""
에프벡스카타플라스마(록소프로펜나트륨수화물),"""8806422040301"",""8806422040318"",""8806422040516"",""8806422040400"",""8806422040509"""
에프벡스쿨플라스타(플루르비프로펜),"""8806422037400"",""8806422037417"",""8806422037424"""
에프벡스한방카타플라스마,"""8806422040707"",""8806422040714"",""8806422040615"",""8806422040608"""
에프쿨시럽,"8806255013312"""""
엑사드정75밀리그램(니자티딘),"""8806636014501"",""8806636014518"",""8806636014525"",""8806636014532"",""8806636014549"""
엑세라민비정,"""8806429045002"",""8806429045019"",""8806429045026"",""8806429045033"",""8806429045040"",""8806429045057"""
엑세라민에이스정,"""8806472054914"",""8806472054921"",""8806472054907"""
엑세라민엑소정,"8806429055810"""""
엑세라민프로정,"8806472056819"""""
엑세타민연질캡슐,"8806226002918"""""
엑셀렌비정,"8806486036012"""""
엑셀비타프리미엄정,"8806429053410"""""""
엑소덤패취(니코틴)(수출명:Exoderm),"""8806744002407"",""8806744002414"",""8806744002421"",""8806744004616"",""8806744004623"",""8806744004715"",""8806744004722"",""8806744004609"",""8806744004708"""
엑스비타에스정,"8806476033717"""""
